ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
kor	kœʁ	kɔro	koɾo	koɾʊ	kʰɔrʊm
-	kʁonik	krɔniko	kɾoniko	kɹɔnikʊ	kʰrɔnɪkʊm
-	-	ktɔnio	-	-	keːhtʰɔnɪʊm
-	-	tʃibatsione	θeβaθjon	sibɐsɐ̃ʊ̃	kɪbaːtɪoːnɛm
-	-	tʃibare	θeβaɾ	sɨvaɹ	kɪbaːrɛ
tʃib	-	tʃibo	θiβo	sibʊ	kɪbʊm
tʃikadə	siɡal	tʃikala	θiɣara	siɡaʁɐ	kɪkaːdam
tʃukuɾe	ʃiʃ	tʃiko	tʃiko	-	kɪkkʊm
-	ʃiʃ	tʃetʃe	tʃitʃaɾo	-	kɪkɛr
-	-	tʃitʃɛrkia	-	-	kɪkɛrkʊlam
tʃikɔaɾe	ʃikoʁe	tʃikɔria	atʃikoɾja	ʃikɔɾjɐ	kɪkʰɔrɪʊm
-	sisɛ̃dɛl	-	-	-	kɪkɪndeːlam
-	siɡɔɲ	tʃikoɲɲa	θiɣueɲa	seɡoɲɐ	kɪkoːnɪam
kukutə	-	tʃikuta	θikuta	sikutɐ	kɪkuːtam
-	ʃifʁ	-	-	-	kɪfram
tʃiliw	sil	tʃiʎo	θexo	seʎʊ	kɪlɪʊm
tʃintʃe	-	tʃimitʃe	tʃisme	ʃiʒmɨ	kiːmɪkɛm
-	-	tʃimoza	-	-	kɪmʊssam
-	-	tʃintʃinno	-	-	kɪŋkɪnnʊm
tʃentuɾə	sɛ̃tyʁ	tʃintura	θintuɾa	siŋtuɾɐ	kɪŋktuːram
-	sɛ̃	tʃinto	-	-	kɪŋktʊm
-	-	-	θineɾeo	-	kɪnɛrɛʊm
-	-	tʃenno	θeɲo	seɲʊ	kɪnnʊm
-	-	-	θeɾθene	-	kɪrkɪnɛm
-	-	-	θeɾθenaɾ	seɾəsiaɹ	kɪrkɪnaːrɛ
tʃearkən	sɛʁn	tʃertʃine	θeɾθeno	sɛɾəsiʊ	kɪrkɪnʊm
tʃertʃeta	-	-	-	-	kɪrkɪtaːrɛ
-	ʃɛʁʃe	tʃerkare	θeɾkaɾ	sɨɾəkaɹ	kɪrkaːrɛ
tʃirkular	siʁkylɛʁ	tʃirkolare	θiɾkulaɾ	siɾəkulaɹ	kɪrkʊlaːrɛm
tʃirkula	-	-	θiɾkulaɾ	siɾəkulaɹ	kɪrkʊlaːrɛ
-	-	tʃirkondare	θiɾkundaɾ	siɾəkũŋdaɹ	kɪrkʊmdarɛ
-	-	tʃirkondurre	-	-	kɪrkʊmduːkɛrɛ
-	-	-	θiɾkumfeɾiɾ	-	kɪrkʊmfɛrrɛ
-	-	tʃirkonflettere	-	-	kɪrkʊmflɛktɛrɛ
-	-	tʃirkonfluire	-	siɾəkũŋfluiɹ	kɪrkʊmflʊɛrɛ
-	-	tʃirkonlokutsione	θiɾkunlokuθjon	-	kɪrkʊmlɔkuːtɪoːnɛm
tʃirkumnaviɡa	siʁkymnaviɡe	tʃirkumnaviɡare	θiɾkunnaβeɣaɾ	siɾəkũŋnɐvɨɡaɹ	kɪrkʊmnaːwɪɡaːrɛ
-	siʁkɔ̃skʁiʁ	tʃirkoskrivere	θiɾkunskɾiβiɾ	siɾəkũŋskɹɨveɹ	kɪrkʊmskriːbɛrɛ
-	siʁkɔ̃vniʁ	tʃirkonvenire	θiɾkumbeniɾ	-	kɪrkʊmwɛniːrɛ
-	-	-	-	siɾəkũŋvulveɹ	kɪrkʊmwɔlwɛrɛ
tʃisternə	sitɛʁn	tʃistɛrna	θisteɾna	siʃtɛɾənɐ	kɪstɛrnam
-	sitasjɔ̃	-	-	sitɐsɐ̃ʊ̃	kɪtaːtɪoːnɛm
-	siteʁjœʁ	-	θiteɾjoɾ	-	kɪtɛrɪoːrɛm
tʃeteɾə	sitaʁ	tʃetra	θitaɾa	sitɐɾɐ	kɪtʰaram
-	sitaʁist	-	-	-	kɪtʰarɔɪdʊm
tʃivik	sivik	tʃiviko	θiβiko	-	kiːwɪkʊm
-	klamœʁ	klamore	klamoɾ	klɐmoɹ	klaːmoːrɛm
-	-	-	-	ʃklɐɾɨseɹ	klaːreːskɛrɛ
klaɾitate	klaʁte	klarita	klaɾiðad	klɐɾidadɨ	klaːrɪtaːtɛm
-	-	-	klaɾaɾ	-	klaːraːrɛ
-	klodikasjɔ̃	-	-	-	klaʊdɪkaːtɪoːnɛm
-	klodike	klaudikare	klaʊðikaɾ	-	klaʊdɪkaːrɛ
-	klo	kjudere	-	ʃowzʊ	klaʊdɛrɛ
-	-	kjavistɛllo	-	-	klaʊstɛllʊm
-	-	-	klausula	klaʊzulɐ	klaʊsʊlam
klisuɾə	klotyʁ	kjuzura	klaʊsuɾa	-	klaʊsuːram
-	klavikɔʁd	klavikɔrdo	klaβikoɾðjo	-	klaːwiːkʰɔrdɪʊm
-	klu	kjavo	klaβo	klavʊ	klaːwʊm
-	-	klementissimo	klementisimo	-	kleːmeːntɪssɪmʊm
-	-	klessidra	-	-	klɛpsydram
-	klɛʁ	kjɛriko	kleɾiɣo	klɛɾiɡʊ	kleːrɪkʊm
-	-	klimateriko	-	klimɐtɛɾikʊ	kliːmakteːrɪkʊm
-	klinik	-	-	-	kliːnɪkʊm
-	-	kinare	-	-	kliːnaːrɛ
-	kaʃe	-	aɣatʃaɾse	kuɐtaɹ	kɔaktaːrɛ
-	kɔaɡylasjɔ̃	koaɡulatsione	koaɣulaθjon	kuɐɡulɐsɐ̃ʊ̃	kɔaːɡʊlaːtɪoːnɛm
-	-	-	-	kuɐlɨseɹ	kɔaleːskɛrɛ
-	-	-	-	kuɐɾətaɹ	kɔartaːrɛ
-	koʃnij	kotʃʃiniʎa	kotʃiniʎa	kuʃiniʎɐ	kɔkkɪnam
-	kɔky	kokwe	-	-	kɔkkʊm
koptuɾə	-	kottura	kotʃuɾa	-	kɔktuːram
koditʃe	kɔd	kɔditʃe	koðiθe	kɔdisɨ	koːdɪkɛm
-	kodisij	koditʃillo	koðiθilo	kudisilʊ	koːdɪkɪllʊm
-	-	-	koeɾθeɾ	-	kɔɪrkeːrɛ
-	koɛʁsisjɔ̃	-	koeɾθjon	-	kɔɪrkɪtɪoːnɛm
-	-	kodʒitabondo	-	-	koːɡɪtaːbʊndʊm
-	koʒitasjɔ̃	-	-	-	koːɡɪtaːtɪoːnɛm
kumnat	koɲa	koɲato	kuɲaðo	-	kɔŋnaːtʊm
koɡnomen	koɲomɛn	koɲome	koɡnome	kuɡnomɨ	koːŋnoːmɛn
-	koabite	koabitare	koaβitaɾ	-	kɔhabɪtaːrɛ
-	-	-	-	kuɨɾiɹ	kɔhaɪreːrɛ
-	-	-	koiβiɾ	-	kɔhɪbeːrɛ
-	-	-	koonestaɾ	-	kɔhɔnɛstaːrɛ
-	kuʁ	korte	koɾte	kɔɾətɨ	kɔhɔrtɛm
koit	-	-	-	koɪtʊ	kɔɪtʊm
-	ku	kolpo	ɡolpe	ɡɔwpɨ	kɔlapʰʊm
-	-	kollaudare	kolaʊðaɾ	-	kɔllaʊdaːrɛ
-	kɔlɛkt	kollɛtta	kolekta	kulɛtɐ	kɔlleːktam
kolektsie	kɔlɛksjɔ̃	kolletsione	kolekθjon	kulɨsɐ̃ʊ̃	kɔlleːktɪoːnɛm
-	-	-	kolektiβo	-	kɔlleːktiːwʊm
-	-	kollɛdʒo	kolexjo	kulɛʒjʊ	kɔlleːɡɪʊm
-	-	kolle	koʎaðo	kɔlɨ	kɔllɛm
kulka	kuʃe	kollokare	kolɣaɾ	kulɡaɹ	kɔllɔkaːrɛ
-	-	kolludere	koluðiɾ	-	kɔlluːdɛrɛ
-	ku	kollo	kweʎo	kɔlʊ	kɔllʊm
-	kɔliʁ	kollirio	koliɾjo	kuliɾjʊ	kɔllyrɪʊm
-	kule	kolare	kolaɾ	kuaɹ	kɔlɛrɛ
kolonie	koloni	kolɔnia	kolonja	kulonjɐ	kɔloːnɪam
-	kolɔ̃	kɔlono	kolono	kulonʊ	kɔloːnʊm
koloɾa	koloʁe	kolorare	koloɾaɾ	kuluɾaɹ	kɔloːraːrɛ
-	kolɔstʁɔm	kolɔstro	kalostɾo	kuloʃtɹʊ	kɔlɔstram
-	kuløvʁ	-	kuleβɾa	-	kɔlʊbram
-	kolybʁɛ̃	kolubrino	-	kulubɹinʊ	kɔlʊbriːnʊm
kolumbə	kolɔ̃b	kolomba	-	-	kɔlʊmbam
-	kolɔ̃bɛ̃	kolombino	kolumbino	-	kɔlʊmbiːnʊm
-	kolɔ̃b	kolombo	-	-	kɔlʊmbʊm
-	kulmɛl	kolumɛlla	-	kulumɛlɐ	kɔlʊmɛllam
-	-	komburere	-	-	kɔmbuːrɛrɛ
-	-	-	komeɾ	kumeɹ	kɔmɛdɛrɛ
-	komis	komitsio	komiθjo	kumisjʊ	kɔmɪtɪʊm
-	kɔ̃ʒe	kommjato	-	-	kɔmmɛaːtʊm
-	kɔmemoʁasjɔ̃	kommemoratsione	konmemoɾaθjon	kumɨmuɾɐsɐ̃ʊ̃	kɔmmɛmɔraːtɪoːnɛm
-	kɔmɑ̃de	komandare	komandaɾ	-	kɔmmɛndaːrɛ
-	kɔmɑ̃tɛʁ	-	komentaɾjo	kumeɪŋtaɾjʊ	kɔmmɛntaːrɪʊm
komertʃjal	kɔmɛʁsjal	kommertʃale	komeɾθjal	kumɨɾəsiɑl	kɔmmɛrkɪaːlɛm
-	-	-	komeðiɾ	-	kɔmmeːtiːriː
-	-	kommizerare	-	-	kɔmmɪsɛraːriː
komisje	kɔmisjɔ̃	kommissione	komisjon	kumisɐ̃ʊ̃	kɔmmɪssɪoːnɛm
ɨnkumeta	kɔmɛtʁ	kommettere	kometeɾ	kumɨteɹ	kɔmmɪttɛrɛ
-	-	kɔmodo	komoðo	kɔmudʊ	kɔmmɔdʊm
-	kɔmosjɔ̃	kommotsione	konmoθjon	kumusɐ̃ʊ̃	kɔmmoːtɪoːnɛm
-	-	kommuɔvere	konmoβeɾ	kumuveɹ	kɔmmɔweːrɛ
komunal	kɔmynal	-	komunal	kumunɑl	kɔmmuːnaːlɛm
-	kɔmynjɔ̃	komunione	komunjon	kumũɲɐ̃ʊ̃	kɔmmuːniːrɛ
komun	kɔmœ̃	komune	komun	kumũŋ	kɔmmuːnɛm
komuta	kɔmye	kommutare	konmutaɾ	kumutaɹ	kɔmmuːtaːrɛ
-	-	-	-	komʊ	koːmɛrɛ
-	-	-	-	kompɐɹ	kɔmparɛm
-	-	kompratore	kompɾaðoɾ	kumpɹɐdoɹ	kɔmparaːtoːrɛm
-	kɔ̃paʁɛtʁ	komparire	kompaɾeθeɾ	kumpɐɾɨseɹ	kɔmpaːreːrɛ
-	kɔ̃pasibl	-	kompasiβle	-	kɔmpassɪbɪlɛm
-	kɔ̃pɛʁ	kompare	kompaðɾe	kumpadɹɨ	kɔmpatrɛm
-	-	-	kompeleɾ	kumpɨliɹ	kɔmpɛllɛrɛ
kompetentsə	kɔ̃petɑ̃s	kompetɛntsa	kompetɛnθja	kumpɨteɪŋsjɐ	kɔmpɛtɛntɪam
kompetitsje	kɔ̃petisjɔ̃	kompetitsione	kompetiθjon	kumpɨtisɐ̃ʊ̃	kɔmpɛtiːtɪoːnɛm
kompetitor	kɔ̃petitœʁ	kompetitore	kompetiðoɾ	kumpɨtidoɹ	kɔmpɛtiːtoːrɛm
-	kɔ̃pete	kompetere	kompetiɾ	kumpɨtiɹ	kɔmpɛtɛrɛ
-	kɔ̃pilasjɔ̃	kompilatsione	kompilaθjon	kumpilɐsɐ̃ʊ̃	kɔmpiːlaːtɪoːnɛm
-	-	-	-	kompitʊ	kɔmpɪtʊm
-	kɔ̃plɛʁ	kompjatʃɛre	komplaθeɾ	kumpɹɐzeɹ	kɔmplakeːrɛ
komplement	kɔ̃plemɑ̃	komplemento	-	-	kɔmpleːmɛntʊm
kumplʲ	akɔ̃pliʁ	kompjere	kumpliɾ	kũmpɹiɹ	kɔmpleːrɛ
-	kɔ̃plesjɔ̃	-	-	-	kɔmpleːtɪoːnɛm
-	-	kompletivo	kompletiβo	kumplɨtivʊ	kɔmpleːtiːwʊm
komplet	kɔ̃plɛ	komplɛto	kompleto	kumplɛtʊ	kɔmpleːtʊm
-	-	-	-	kumpleɪsɐ̃ʊ̃	kɔmplɛksɪoːnɛm
komplikatsje	kɔ̃plikasjɔ̃	komplikatsione	komplikaθjon	kumplikɐsɐ̃ʊ̃	kɔmplɪkaːtɪoːnɛm
-	kɔ̃pɔʁte	komportare	kompoɾtaɾ	kumpuɾətaɹ	kɔmpɔrtaːrɛ
-	-	-	kompɾensiβle	kumpɹieɪŋsivɛl	kɔmprɛhɛnsɪbɪlɛm
-	kɔ̃pʁime	komprimere	kompɾimiɾ	kumpɹimiɹ	kɔmprɪmɛrɛ
-	-	-	kompɾoβaɾ	-	kɔmprɔbaːrɛ
-	kɔ̃pʁomɛtʁ	kompromettere	kompɾometeɾ	kumpɹumɨteɹ	kɔmproːmɪttɛrɛ
kompunktsjune	kɔ̃pɔ̃ksjɔ̃	kompuntsione	kompunθjon	kumpũŋsɐ̃ʊ̃	kɔmpʊŋktɪoːnɛm
-	kɔ̃pwɛ̃dʁ	kompundʒere	kompuŋxiɾ	-	kɔmpʊŋɡɛrɛ
-	-	-	kontaɾ	kuŋtaɹ	kɔmpʊtaːrɛ
-	-	konatsione	-	-	koːnaːtɪoːnɛm
-	-	konato	-	-	koːnaːtʊm
-	-	konkatenare	konkatenaɾ	-	kɔŋkateːnaːrɛ
konkav	kɔ̃kav	kɔnkavo	konkaβo	koŋkɐvʊ	kɔŋkawʊm
-	kɔ̃sede	kontʃedere	konθeðeɾ	-	kɔŋkeːdɛrɛ
-	-	kontʃettuale	-	-	kɔŋkɛptʊaːlɛm
-	kɔ̃sɛʁne	kontʃɛrnere	konθeɾniɾ	kuŋsɨɾəniɹ	kɔŋkɛrnɛrɛ
-	kɔ̃ʃ	konka	kontʃa	koŋʃɐ	kɔŋkʰam
-	kɔ̃si	kontʃizo	konθiso	kuŋsizʊ	kɔŋkɪdɛrɛ
-	kɔ̃siljabyl	kontʃiliabolo	konθiljaβulo	kuŋsiliabulʊ	kɔŋkɪlɪaːbʊlʊm
-	kɔ̃silje	konsiʎare	konsexaɾ	-	kɔŋkɪlɪaːrɛ
-	kɔ̃sil	konsiʎo	konsexo	-	kɔŋkɪlɪʊm
-	-	kontʃinnita	konθiniðad	-	kɔŋkɪnnɪtaːtɛm
-	-	kontʃitatsione	konθitaθjon	kuŋsitɐsɐ̃ʊ̃	kɔŋkɪtaːtɪoːnɛm
-	-	konklamato	-	-	kɔŋklaːmaːtʊm
-	kɔ̃klame	konklamare	-	-	kɔŋklaːmaːrɛ
-	kɔ̃komitɑ̃	-	-	-	kɔŋkɔmɪtaːriː
-	kɔ̃kɔʁd	konkɔrdia	konkoɾðja	-	kɔŋkɔrdɪam
-	-	konkreʃere	-	-	kɔŋkreːskɛrɛ
-	kɔ̃kʁesjɔ̃	konkretsione	konkɾeθjon	-	kɔŋkreːtɪoːnɛm
-	-	-	konkulkaθjon	-	kɔŋkʊlkaːtɪoːnɛm
-	-	konkulkare	konkulkaɾ	-	kɔŋkʊlkaːrɛ
-	kɔ̃kuʁiʁ	konkɔrrere	konkuriɾ	kuŋkuʁeɹ	kɔŋkʊrrɛrɛ
konkurs	kɔ̃kuʁ	konkorso	konkuɾso	kuŋkuɾəsʊ	kɔŋkʊrsʊm
-	kɔ̃kysjɔ̃	-	konkusjon	-	kɔŋkʊssɪoːnɛm
-	-	kondannatsione	kondenaθjon	kuŋdɨnɐsɐ̃ʊ̃	kɔndɛmnaːtɪoːnɛm
-	kɔ̃dɑ̃sasjɔ̃	kondensatsione	kondensaθjon	kuŋdensɐsɐ̃ʊ̃	kɔndeːnsaːtɪoːnɛm
kondensa	kɔ̃dɑ̃se	kondensare	kondensaɾ	kuŋdeɪŋsaɹ	kɔndeːnsaːrɛ
-	kɔ̃dɛsɑ̃dʁ	kondiʃɛndere	kondesθendeɾ	kuŋdɨseɪŋdeɹ	kɔndeːskɛndɛrɛ
konditsje	kɔ̃disjɔ̃	konditsione	kondiθjon	kuŋdisɐ̃ʊ̃	kɔndɪkɪoːnɛm
-	kɔ̃disjɔnɛl	-	-	-	kɔndɪkɪoːnaːlɛm
-	ekɔ̃dyiʁ	-	kondeθiɾ	kuŋdizeɹ	kɔndiːkɛrɛ
-	kɔ̃diɲ	-	kondiɡno	-	kɔndɪŋnʊm
-	-	-	kondimɛnto	-	kɔndiːmɛntʊm
-	-	-	kondiɾ	-	kɔndiːrɛ
-	-	-	kondiɾ	-	kɔndɛrɛ
-	kɔ̃dulwaʁ	kondolersi	kondoleɾ	kuŋdueɹ	kɔndɔleːrɛ
-	-	kondonare	kondonaɾ	-	kɔndoːnaːrɛ
kondutʃe	kɔ̃dyiʁ	kondurre	konduθiɾ	kuŋduziɹ	kɔnduːkɛrɛ
konduktsie	kɔ̃dyksjɔ̃	kondutsione	kondukθjon	kuŋdusɐ̃ʊ̃	kɔndʊktɪoːnɛm
-	kɔnɛkte	konnettere	konektaɾ	kunɛtaɹ	koːnɛktɛrɛ
-	kɔnɛksjɔ̃	-	koneksjon	-	koːnɛksɪoːnɛm
-	kɔ̃feʁe	konferire	komfeɾiɾ	kuŋfɨɾiɹ	koːnfɛrrɛ
-	kɔ̃fɛʁv	-	-	-	koːnfɛrwam
-	kɔ̃fɛsœʁ	konfessore	komfesoɾ	kuŋfɨsoɹ	koːnfɛssoːrɛm
-	kɔ̃fiʁ	-	-	-	koːnfɪkɛrɛ
-	kɔ̃fidɑ̃s	-	-	-	koːnfiːdɛntɪam
konfja	kɔ̃fje	konfidare	komfjaɾ	kuŋfiaɹ	koːnfiːdɛrɛ
-	kɔ̃fɛ̃	konfine	komfin	kuŋfiŋ	kɔnfiːnɛm
-	kɔ̃fiʁmasjɔ̃	konfermatsione	komfiɾmaθjon	kuŋfiɾəmɐsɐ̃ʊ̃	koːnfɪrmaːtɪoːnɛm
-	kɔ̃fiske	konfiskare	komfiskaɾ	kuŋfiʃkaɹ	koːnfɪskaːrɛ
-	kɔ̃fɛse	-	komfesaɾ	kuŋfɨsaɹ	koːnfɪteːriː
konflikt	kɔ̃fli	konflitto	komflikto	kuŋflitʊ	koːnflɪktʊm
-	ɡɔ̃fle	ɡonfjare	-	-	koːnflaːrɛ
-	kɔ̃flyɑ̃	-	-	-	koːnflʊɛntɛm
-	kɔ̃flye	konfluire	komfluiɾ	kuŋfluiɹ	koːnflʊɛrɛ
-	kɔ̃fedeʁasjɔ̃	konfederatsione	komfeðeɾaθjon	kuŋfɨdɨɾɐsɐ̃ʊ̃	koːnfɔɪdɛraːtɪoːnɛm
-	-	konfederare	-	-	koːnfɔɪdɛraːrɛ
-	kɔ̃fɔʁm	konforme	komfoɾme	kuŋfɔɾəmɨ	koːnfoːrmɛm
-	kɔ̃fɔʁme	-	-	-	koːnfoːrmaːrɛ
-	kɔ̃fɔʁte	-	-	-	koːnfɔrtaːrɛ
-	kɔ̃fyte	konfutare	komfutaɾ	-	koːnfuːtaːrɛ
-	-	ɡroŋɡo	koŋɡɾio	koŋɡɹʊ	kɔŋɡrʊm
-	kɔ̃ʒɛʁ	-	-	-	kɔŋɡɛrɪɛm
-	kɔ̃ʒ	kondʒo	koŋxjo	koŋʒjʊ	kɔŋɡɪʊm
-	kɔ̃ɡʁeʒe	koŋɡreɡare	koŋɡɾeɣaɾ	kuŋɡɹɨɡaɹ	kɔŋɡrɛɡaːrɛ
-	kɔ̃ɡʁy	-	koŋɡɾuo	-	kɔŋɡrʊʊm
ɨnkonʒuɾa	-	-	-	-	kɔŋɡyraːrɛ
-	kɔ̃ʒyɡe	konjuɡare	koŋxuɣaɾ	kuŋʒuɡaɹ	kɔnɪʊɡaːrɛ
-	kɔ̃ʒwɛ̃dʁ	kondʒundʒere	-	kuŋʒũŋʒiɹ	kɔnɪʊŋɡɛrɛ
-	kɔ̃ʒyʁasjɔ̃	kondʒuratsione	koŋxuɾaθjon	kuŋʒuɾɐsɐ̃ʊ̃	kɔnɪuːraːtɪoːnɛm
-	-	kondʒuratore	-	-	kɔnɪuːraːtoːrɛm
-	-	kondʒurato	-	-	kɔnɪuːraːtʊm
-	kɔ̃ʒyʁe	kondʒurare	koŋxuɾaɾ	kuŋʒuɾaɹ	kɔnɪuːraːrɛ
-	kɔnive	-	-	-	koːniːweːrɛ
-	kɔ̃ʒyɡɛzɔ̃	konjuɡatsione	koŋxuɣaθjon	kuŋʒuɡɐsɐ̃ʊ̃	kɔnjʊɡaːtɪoːnɛm
-	kɔnɛksjɔ̃	konnessione	koneksjon	kunɨksɐ̃ʊ̃	kɔnnɛksɪoːnɛm
-	kanope	konopɛo	-	kunupeʊ	koːnoːpeːʊm
kutʃeɾʲi	kɔ̃keʁiʁ	-	konkeɾiɾ	-	kɔŋkwiːrɛrɛ
-	kɔ̃sɑ̃ɡinite	-	konsaŋɡiniðad	kuŋsɐ̃ŋɡwinidadɨ	koːnsaŋɡwɪnɪtaːtɛm
konʃtijntsə	kɔ̃sjɑ̃s	koʃɛntsa	konsθjɛnθja	kuŋsjeɪŋsjɐ	koːnskɪɛntɪam
-	-	kɔnʃo	-	koŋsiʊ	koːnskɪʊm
-	kɔ̃skʁi	-	-	-	koːnskriːptʊm
-	kɔ̃sekʁasjɔ̃	konsakratsione	-	-	koːnsɛkraːtɪoːnɛm
konsimtsʲ	kɔ̃sɑ̃tiʁ	konsentire	konsentiɾ	kuŋseɪŋtiɹ	koːnsɛntiːrɛ
konsekventsə	kɔ̃sekɑ̃s	konseɡwɛntsa	konsekwɛnθja	kuŋsɨkweɪŋsjɐ	koːnsɛkwɛntɪam
-	-	konseɡwire	konseɣiɾ	kuŋsɨɡiɹ	koːnsɛkwiː
-	kɔ̃sɛʁvasjɔ̃	konservatsione	konseɾβaθjon	kuŋsɨɾəvɐsɐ̃ʊ̃	koːnsɛrwaːtɪoːnɛm
konserva	kɔ̃sɛʁve	konservare	konseɾβaɾ	kuŋsɨɾəvaɹ	koːnsɛrwaːrɛ
-	kɔ̃sjɛʁʒ	-	-	-	koːnsɛrwʊm
-	kɔ̃sideʁasjɔ̃	konsideratsione	konsiðeɾaθjon	kuŋsidɨɾɐsɐ̃ʊ̃	koːnsiːdɛraːtɪoːnɛm
-	kɔ̃siɲasjɔ̃	-	konsiɡnaθjon	kuŋsiɡnɐsɐ̃ʊ̃	koːnsɪŋnaːtɪoːnɛm
-	kɔ̃siɲe	konseɲare	konsiɡnaɾ	kuŋsiɡnaɹ	koːnsɪŋnaːrɛ
konsiliw	kɔ̃sɛj	konsiʎo	konsexo	kuŋseʎʊ	koːnsɪlɪʊm
konsista	kɔ̃siste	konsistere	konsistiɾ	kuŋsiʃtiɹ	koːnsɪstɛrɛ
-	kuzɛ̃	konsobrino	-	kuŋsubɹiɲʊ	koːnsoːbriːnʊm
-	kɔ̃solasjɔ̃	konsolatsione	konsolaθjon	kuŋsulɐsɐ̃ʊ̃	koːnsoːlaːtɪoːnɛm
-	kɔ̃sud	konsɔlida	-	-	koːnsɔlɪdam
-	kɔ̃solidasjɔ̃	konsolidatsione	konsoliðaθjo	kuŋsulidɐsɐ̃ʊ̃	koːnsɔlɪdaːtɪoːnɛm
konsolida	kɔ̃solide	konsolidare	konsoliðaɾ	kuŋsulidaɹ	koːnsɔlɪdaːrɛ
-	kɔ̃sole	-	konsolaɾ	kuŋsulaɹ	koːnsoːlaːriː
-	kɔ̃sone	konsonare	konsonaɾ	kuŋsuaɹ	koːnsɔnaːrɛ
-	kɔ̃sɔʁ	konsɔrte	konsoɾte	kuŋsɔɾətɨ	koːnsɔrtɛm
skwipa	-	-	eskupiɾ	kuʃpiɹ	koːnspʊɛrɛ
-	-	-	-	kuŋspuɾəkaɹ	koːnspʊrkaːrɛ
-	kɔ̃stɑ̃s	-	konstanθja	-	koːnstantɪam
-	kɔ̃stitye	kostituire	konstitwiɾ	kuŋstituiɹ	koːnstɪtʊɛrɛ
-	kɔ̃stitysjɔ̃	kostitutsione	konstituθjon	kuŋstituɪsɐ̃ʊ̃	koːnstɪtuːtɪoːnɛm
-	kɔ̃stitytif	-	konstitutiβo	kuŋstitutivʊ	kɔnstɪtuːtɪwʊm
-	kɔ̃stʁiktœʁ	kostrittore	konstɾiktoɾ	-	koːnstrɪktoːrɛm
kostum	kutym	kostume	kostumbɾe	kuʃtumɨ	koːnsʊeːtuːdɪnɛm
-	kɔ̃syltasjɔ̃	konsultatsione	konsultaθjon	kuŋsuwtɐsɐ̃ʊ̃	koːnsʊltaːtɪoːnɛm
-	kɔ̃sɔmasjɔ̃	konsumatsione	konsumaθjon	kuŋsumɐsɐ̃ʊ̃	koːnsʊmmaːtɪoːnɛm
-	kɔ̃sɔme	-	konsumaɾ	kuŋsumaɹ	koːnsʊmmaːrɛ
-	kɔ̃syme	konsumere	konsumiɾ	kuŋsumiɹ	koːnsuːmɛrɛ
-	kɔ̃sɔ̃psjɔ̃	konsuntsione	konsunθjon	kuŋsũŋsɐ̃ʊ̃	koːnsuːmptɪoːnɛm
-	kɔ̃taminasjɔ̃	kontaminatsione	kontaminaθjon	kuŋtɐminɐsɐ̃ʊ̃	kɔntaːmɪnaːtɪoːnɛm
-	-	kontemperare	-	-	kɔntɛmpɛraːrɛ
-	kɔ̃tɑ̃ple	kontemplare	kontemplaɾ	-	kɔntɛmplaːriː
-	-	kontɛndere	kontendeɾ	kuŋteɪŋdeɹ	kɔntɛndɛrɛ
kontentsjune	kɔ̃tɑ̃sjɔ̃	kontentsione	kontenθjon	kuŋteɪŋsɐ̃ʊ̃	kɔntɛntɪoːnɛm
kontentsjos	kɔ̃tɑ̃sjø	kontentsiozo	kontenθjoso	kuŋteɪŋsiozʊ	kɔntɛntɪoːsʊm
kontent	kɔ̃tɑ̃	kontɛnto	kontɛnto	kuŋteɪŋtɨ	kɔntɛntʊm
-	kɔ̃tʁiʁ	-	-	-	kɔntɛrɛrɛ
-	kɔ̃tɛste	kontestare	kontestaɾ	kuŋtɨʃtaɹ	kɔntɛstaːriː
-	-	-	kontiɡnaθjon	-	kɔntɪŋnaːtɪoːnɛm
-	kɔ̃tinyasjɔ̃	kontinuatsione	kontinwaθjon	kuŋtinuɐsɐ̃ʊ̃	kɔntɪnʊaːtɪoːnɛm
kontinwu	kɔ̃tiny	kontinuo	kontinwo	kuŋtinuʊ	kɔntɪnʊʊm
-	-	-	-	kuŋsiunaɹ	koːntɪoːnaːriː
-	-	kontɔrtʃere	kontoɾθeɾ	kuŋtuɾəseɹ	kɔntɔrkweːrɛ
-	-	kontɔrto	-	-	kɔntɔrtʊm
-	kɔ̃tʁadiktœʁ	kontradditore	kontɾaðiktoɾ	kuŋtɹɐditoɹ	kɔntraːdɪktoːrɛm
kontrakta	kɔ̃tʁakte	kontrarre	kontɾaeɾ	kuŋtɹɐiɹ	kɔntrahɛrɛ
-	kɔ̃tʁəvniʁ	-	kontɾaβeniɾ	kuŋtɹɐviɹ	kɔntraːwɛniːrɛ
kutrejeɾa	-	-	kontɾiβulaɾ	-	kɔntrɪbʊlaːrɛ
-	kɔ̃tʁibye	kontribuire	kontɾiβwiɾ	kuŋtɹibuiɹ	kɔntrɪbʊɛrɛ
-	kɔ̃tʁiste	kontristare	kontɾistaɾ	kuŋtɹiʃtaɹ	kɔntriːstaːrɛ
-	kɔ̃tʁisjɔ̃	kontritsione	-	kuŋtɹisɐ̃ʊ̃	kɔntriːtɪoːnɛm
-	kɔ̃tʁi	kontrito	-	-	kɔntriːtʊm
